Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Boot/Option,
C1,0402,1,1,
C10,0805,1,10,
C11,0402,1,0.1,
C12,0402,1,0.1,
C13,0402,1,0.1,
C14,0402,1,0.1,
C15,0402,1,0.1,
C16,CP_Elec_6.3x5.8,1,100uF,
C2,0805,1,10,
C3,0402,1,0.1,
C4,0402,1,1,
C5,0805,1,10,
C6,0402,1,0.1,
C7,0402,1,0.1,
C8,0402,1,0.1,
C9,0805,1,10,
D1,0805,1,1,
D10,D_SOD-123F,1,SM4001PL,
D2,0805,1,2,
D3,0805,1,3,
"D4, D5, D6",D_SMA,3,~,
D7,SOT-23,1,BAT54C,
"D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole_Pad,
J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,I2C,
J10,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,S2,
J11,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,S3,
J2,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
J3,PinHeader_2x03_P2.54mm_Vertical,1,SERIAL,
J4,Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,1,PWR,
J5,PinHeader_1x02_P2.54mm_Vertical,1,P1,
J6,PinHeader_1x02_P2.54mm_Vertical,1,P2,
J7,PinHeader_1x02_P2.54mm_Vertical,1,P3,
J8,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,LED,
J9,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,S1,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,5V_Only,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,led,
"Q1, Q2, Q3",SOT-23,3,AO3400A,
R1,0402,1,10k,
R10,0402,1,10K,
R11,0402,1,10K,
R12,0402,1,10K,
R13,0402,1,10k,
R14,0402,1,10k,
R15,0402,1,10k,
R4,0402,1,10k,
R5,0402,1,10k,
R6,0402,1,10k,
R7,0402,1,22,
R8,0402,1,22,
R9,0402,1,22,
U1,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
