Designator,Mid X,Mid Y,Rotation,Layer
C1,132.08,-51.816,0.0,top
C10,149.352,-70.866,0.0,top
C11,166.6748,-71.1454,270.0,top
C12,129.667,-39.37,90.0,top
C13,140.8176,-39.5478,90.0,top
C14,152.4762,-39.2684,90.0,top
C15,161.8488,-78.4352,90.0,top
C16,169.7228,-51.8922,180.0,top
C2,164.719,-55.8038,270.0,top
C3,164.719,-53.5686,180.0,top
C4,148.59,-66.294,0.0,top
C5,165.7604,-69.0626,180.0,top
C6,164.6428,-58.7502,0.0,top
C7,154.94,-55.626,270.0,top
C8,148.082,-73.152,270.0,top
C9,154.432,-52.324,90.0,top
D1,135.128,-41.751,180.0,top
D10,154.7618,-78.232,180.0,top
D2,147.066,-42.005,180.0,top
D3,156.972,-42.545,180.0,top
D4,140.0325,-44.545,270.0,top
D5,151.13,-44.0182,270.0,top
D6,160.528,-44.291,270.0,top
D7,132.1585,-58.166,0.0,top
D8,159.0828,-78.8162,180.0,top
D9,165.4328,-78.8162,180.0,top
J1,128.016,-50.8,270.0,top
J10,144.2235,-36.417,90.0,top
J11,155.6535,-36.417,90.0,top
J2,127.254,-60.706,270.0,top
J3,129.3368,-72.7052,180.0,top
J4,166.497,-43.9674,0.0,top
J5,138.1275,-34.893,0.0,top
J6,149.3035,-34.893,0.0,top
J7,160.4795,-34.893,0.0,top
J8,170.7388,-71.374,270.0,top
J9,133.3015,-36.417,90.0,top
Q1,135.2065,-46.069,90.0,top
Q2,146.8628,-45.6692,90.0,top
Q3,156.718,-45.72,90.0,top
R1,132.08,-50.419,180.0,top
R10,132.08,-41.243,90.0,top
R11,143.5885,-42.005,180.0,top
R12,154.432,-42.545,90.0,top
R13,136.1948,-49.7332,90.0,top
R14,147.2438,-48.9712,90.0,top
R15,154.3304,-45.2374,270.0,top
R4,139.7,-60.706,270.0,top
R5,132.08,-49.276,180.0,top
R6,148.59,-67.564,180.0,top
R7,134.9248,-49.7332,90.0,top
R8,145.923,-48.9712,90.0,top
R9,154.3304,-47.244,90.0,top
U1,168.1988,-59.1566,270.0,top
U2,159.766,-54.356,90.0,top
U3,140.462,-71.882,180.0,top
